Date,iRate_1D
1/2/90,9.97216E-05
1/3/90,0.000100457
1/4/90,9.98442E-05
1/5/90,9.92308E-05
1/8/90,9.92308E-05
1/9/90,9.93535E-05
1/10/90,9.87398E-05
1/11/90,9.93535E-05
1/12/90,9.8617E-05
1/16/90,0.000100457
1/17/90,0.000101438
1/18/90,0.000102295
1/19/90,0.000101806
1/22/90,0.000101683
1/23/90,0.000100948
1/24/90,0.000100948
1/25/90,0.000101193
1/26/90,0.000100948
1/29/90,0.000101806
1/30/90,0.000101806
1/31/90,0.000101806
2/1/90,0.00010205
2/2/90,0.000102663
2/5/90,0.000102785
2/6/90,0.000102907
2/7/90,0.000102785
2/8/90,0.000102785
2/9/90,0.00010205
2/12/90,0.000101683
2/13/90,9.98442E-05
2/14/90,0.000100212
2/15/90,0.000101438
2/16/90,0.00010107
2/20/90,0.00010254
2/21/90,0.000101928
2/22/90,0.000101683
2/23/90,0.000100948
2/26/90,0.000101438
2/27/90,0.000101683
2/28/90,0.000102295
3/1/90,0.000102785
3/2/90,0.00010205
3/5/90,0.000102907
3/6/90,0.000103886
3/7/90,0.000104008
3/8/90,0.000104008
3/9/90,0.000104986
3/12/90,0.000104986
3/13/90,0.000104986
3/14/90,0.00010462
3/15/90,0.000104375
3/16/90,0.000104131
3/19/90,0.000104498
3/20/90,0.000104864
3/21/90,0.00010462
3/22/90,0.000103886
3/23/90,0.000103642
3/26/90,0.000103397
3/27/90,0.000103886
3/28/90,0.000103275
3/29/90,0.00010303
3/30/90,0.000102663
4/2/90,0.000102418
4/3/90,0.000102907
4/4/90,0.000101928
4/5/90,0.00010205
4/6/90,0.00010205
4/9/90,0.000102907
4/10/90,0.000102418
4/11/90,0.000102173
4/12/90,0.00010205
4/16/90,0.000101928
4/17/90,0.000102173
4/18/90,0.000102785
4/19/90,0.00010254
4/20/90,0.000101193
4/23/90,0.000101806
4/24/90,0.000102173
4/25/90,0.00010254
4/26/90,0.000102907
4/27/90,0.000102418
4/30/90,0.000102663
5/1/90,0.000104131
5/2/90,0.000103886
5/3/90,0.000103642
5/4/90,0.00010205
5/7/90,0.000102907
5/8/90,0.00010254
5/9/90,0.000101928
5/10/90,0.000101438
5/11/90,0.000100335
5/14/90,0.000100457
5/15/90,0.000100703
5/16/90,0.000100948
5/17/90,0.000100948
5/18/90,0.000101928
5/21/90,0.00010205
5/22/90,0.000101683
5/23/90,0.000100703
5/24/90,0.000101193
5/25/90,0.000101928
